"datetime","headline","source","url","summary","related","image","lang","hasPaywall","symbol"
"1604034023000","Maxime Saada : « Canal+ a toutes les cartes en main »","Les Echos","https://cloud.iexapis.com/v1/news/article/70c72b66-a4d6-4739-bb44-5ad8bb920bd2","A la tête de Canal+ depuis cinq ans, Maxime Saada analyse le retour en grâce de Canal+ depuis quelques mois, après des partenariats signés avec Disney +, beIN ou encore Netflix et malgré la perte d'une grande partie de la Ligue 1 de football. Il estime que Canal+ peut défendre son rang face aux plateformes de SVoD américaines. Et pointe que Canal+ n'est pas près de réinvestir à perte dans le football.","NFLX","https://cloud.iexapis.com/v1/news/image/70c72b66-a4d6-4739-bb44-5ad8bb920bd2","fr","False",""
"1604030423000","« Canal+ a toutes les cartes en main »","Les Echos","https://cloud.iexapis.com/v1/news/article/11cfc092-8fe8-43a5-9eba-1cb309dcb85c","A la tête de Canal+ depuis cinq ans, Maxime Saada analyse le retour en grâce de Canal+ depuis quelques mois, après des partenariats signés avec Disney +, beIN ou encore Netflix et malgré la perte d'une grande partie de la Ligue 1 de football. Il estime que Canal+ peut défendre son rang face aux plateformes de SVoD américaines. Et pointe que Canal+ n'est pas près de réinvestir à perte dans le football.","NFLX","https://cloud.iexapis.com/v1/news/image/11cfc092-8fe8-43a5-9eba-1cb309dcb85c","fr","False",""
"1604029344000","trade analysis btc usd long time sell and idea - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/7a67d69c-f56b-493d-865b-f56413d649aa","trade analysis btc usd long time sell and idea Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index FuturesRead More","NFLX","https://cloud.iexapis.com/v1/news/image/7a67d69c-f56b-493d-865b-f56413d649aa","en","False",""
"1604028638000","Bitcoin TD - Setup Short - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/6a8cbcdd-6fbd-441a-b2d4-77fabe55592a","Bitcoin TD – Setup Short Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil,Read More","NFLX","https://cloud.iexapis.com/v1/news/image/6a8cbcdd-6fbd-441a-b2d4-77fabe55592a","en","False",""
"1604025107000","La polémica serie de Netflix sobre el caso Colmenares","El Tiempo","https://cloud.iexapis.com/v1/news/article/796c876c-3331-4251-891b-77db78134619","Varios de los protagonistas de la mediática investigación rechazaron que sus nombres fueran usados.","NFLX","https://cloud.iexapis.com/v1/news/image/796c876c-3331-4251-891b-77db78134619","es","False",""
"1604017807000","Netflix anunció aumentos de hasta dos dólares en su abono para sus clientes de Estados Unidos","Clarin","https://cloud.iexapis.com/v1/news/article/aa6ddd94-c5d4-4280-a4ff-0d20a2b3ac98","La empresa de streaming confirmó las actualizaciones en las tarifas de sus planes Estándar y Premium. El Básico seguirá igual.","NFLX","https://cloud.iexapis.com/v1/news/image/aa6ddd94-c5d4-4280-a4ff-0d20a2b3ac98","es","False",""
"1604013124000","BCH BTC - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/341d77d8-1487-4dbb-bee1-e31be4192b60","BCH BTC Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil, Natural Gas, Corn,Read More","NFLX","https://cloud.iexapis.com/v1/news/image/341d77d8-1487-4dbb-bee1-e31be4192b60","en","False",""
"1604010331000","who knows.. - The Bitcoin Street Journal","The Bitcoin Street Journal","https://cloud.iexapis.com/v1/news/article/2860f818-82d3-4fde-9997-46b1d42b845a","who knows.. Cryptocurrencies Crypto Market Cap, BTC/USD, ETH/USD, USDT/USD, XRP/USD, Bitcoin Currencies EUR/USD, GBP/USD, USD/JPY, AUD/USD, USD/CAD, USD/CHF Stocks Apple, Advanced Micro Devices Inc, Amazon Com Inc, TESLA INC, NETFLIX INC, Facebook Inc Indices S&P 500, Nasdaq 100, Dow 30, Russell 2000, U.S. Dollar Index, Bitcoin Index Futures Gold, Silver, Crude Oil, Natural Gas, Corn,Read More","NFLX","https://cloud.iexapis.com/v1/news/image/2860f818-82d3-4fde-9997-46b1d42b845a","en","False",""
"1604007146000","Netflix sube los precios a clientes en EEUU y sus acciones se disparan","Investing.com Spain","https://cloud.iexapis.com/v1/news/article/0b735ccb-ab73-4744-9114-ee4d813b04da","https://es.investing.com/news/technology-news/netflix-sube-los-precios-a-clientes-en-eeuu-y-sus-acciones-se-disparan-2051895","NFLX","https://cloud.iexapis.com/v1/news/image/0b735ccb-ab73-4744-9114-ee4d813b04da","es","False",""
"1604003001000","Netflix sube precios en Estados Unidos","El Pais Cinco Dias","https://cloud.iexapis.com/v1/news/article/28ee3f64-b060-4b24-a5b4-91c526007313","No summary available.","NFLX","https://cloud.iexapis.com/v1/news/image/28ee3f64-b060-4b24-a5b4-91c526007313","es","False",""
"1604001060000","Netflix increases prices in U.S. after wave of pandemic subscription additions, stock jumps","MarketWatch","https://cloud.iexapis.com/v1/news/article/58d4a663-b8cb-4544-9d35-e18934527d14","Netflix Inc. will increase prices in the U.S. after a surge in new subscriptions in the first few months of the COVID-19 pandemic.","NFLX","https://cloud.iexapis.com/v1/news/image/58d4a663-b8cb-4544-9d35-e18934527d14","en","False",""
"1604000282000","Netflix Shares Spike After Raising Prices In US","Benzinga","https://cloud.iexapis.com/v1/news/article/95bf395c-b73c-4522-a5e2-b23c58384e4b","Netflix Inc. (NASDAQ: NFLX ) shares spiked higher on Thursday afternoon after The Verge reported the company is raising its basic plan prices from $13 to $14 per month and its premium plan prices from $16 to $18 per month. The new pricing for the standard plan is a $1 price increase and the new premium … Full story available on Benzinga.com","NFLX","https://cloud.iexapis.com/v1/news/image/95bf395c-b73c-4522-a5e2-b23c58384e4b","en","False",""
"1603997651000","¿Por qué la nueva 'Rebeca' de Netflix es tan mala?","EL Mundo","https://cloud.iexapis.com/v1/news/article/c29e6a37-7bd2-48a0-baaf-966a1c71b6e1","Leer","NFLX","https://cloud.iexapis.com/v1/news/image/c29e6a37-7bd2-48a0-baaf-966a1c71b6e1","es","False",""
"1603993876000","Thatcher y Lady Di protagonizan el tráiler de la temporada 4 de 'The Crown'","Publico","https://cloud.iexapis.com/v1/news/article/c9fd06db-87f7-4ab4-aeeb-1a6f41acf0dd","Llegan aires renovados en el nuevo avance de la cuarta temporada de 'The Crown', que se estrenará en Netflix el 15 de noviembre. Las mujeres toman el control de este adelanto, en el que, por fin, pueden escucharse las voces de los dos personajes más esperados de esta tanda de episodios: Margaret Thatcher y Diana de Gales. Además, el tráiler plantea una cuestión ante el romance de Lady Spencer con Carlos de Inglaterra: ¿Doblegarse o romperse? (Fuente: YouTube Netflix)","NFLX","https://cloud.iexapis.com/v1/news/image/c9fd06db-87f7-4ab4-aeeb-1a6f41acf0dd","es","False",""
"1603983786000","10 super séries que vous avez ratées chez les ennemis de Netflix","Lavenir","https://cloud.iexapis.com/v1/news/article/d9fe93da-f4f9-4ff6-9258-98a90889d08c","Amazon Prime Video, Disney + et Apple TV + proposent aussi de solides séries exclusives dans leurs catalogues.","NFLX","https://cloud.iexapis.com/v1/news/image/d9fe93da-f4f9-4ff6-9258-98a90889d08c","fr","False",""
"1603983682000","Estas son las aplicaciones con mayores ataques cibernéticos","El Tiempo","https://cloud.iexapis.com/v1/news/article/1ef537a2-8693-4085-bb99-3c273510c40a","Facebook, WhatsApp y Netflix, entre las más usadas para ‘phishing’.","NFLX","https://cloud.iexapis.com/v1/news/image/1ef537a2-8693-4085-bb99-3c273510c40a","es","False",""
"1603976505000","Netflix hará una serie sobre Assassin's Creed, el popular videojuego","Clarin","https://cloud.iexapis.com/v1/news/article/0fb317e8-270c-45eb-927e-82559802186a","Tendrá actores de carne y hueso. Detalles que hacen delirar a los fans.","NFLX","https://cloud.iexapis.com/v1/news/image/0fb317e8-270c-45eb-927e-82559802186a","es","False",""
